scenarioId;scenarioTitle;trainingIds;knowledgeArticleIds;sourceRefs;expectedActionIds;status
SC-01;Отказ сырьевого насоса Н-1;MT-FEED-02;feed-pumps;SRC-PUMP-001;ACT-PUMP-N1;implemented
SC-02;Потеря технологического пара;MT-FURN-01;furnace-safety;SRC-HAZ-001|SRC-SAFETY-001;ACT-SAFE-STOP;implemented
SC-03;"Потеря электропитания 0,4/6 кВ";MT-SAFE-01;cooling-loss;SRC-SAFETY-001;ACT-SAFE-STOP;implemented
SC-04;Потеря питания операторной;;trainer-use;;ACT-SAFE-STOP;implemented
SC-05;Потеря оборотной воды;MT-SAFE-01|MT-K2-01;cooling-loss|k2-control;SRC-SAFETY-001|SRC-PROC-001;ACT-FUEL|ACT-AVO;implemented
SC-06;Потеря приборного воздуха;MT-UTIL-01;instrument-air;SRC-SAFETY-001;ACT-SAFE-STOP;implemented
SC-07;Разрыв змеевика печи;MT-FURN-01;furnace-safety;SRC-HAZ-001|SRC-SAFETY-001;ACT-ESD;implemented
SC-08;Разгерметизация насоса или фланца;MT-FEED-02;feed-pumps;SRC-PUMP-001;ACT-PUMP-N1|ACT-VALVE-L1;implemented
SC-09;Потеря вентиляции операторной/РУ;MT-VENT-01;ventilation;SRC-VENT-001|SRC-SAFETY-001;ACT-SAFE-STOP;implemented
SC-10;Потеря вентиляции насосных ЭЛОУ;MT-VENT-01;ventilation;SRC-VENT-001|SRC-SAFETY-001;ACT-SAFE-STOP;implemented
SC-11;Высокий уровень воды E-1/E-2;MT-E1-01;e1-water;SRC-SAFETY-001;;implemented
SC-12;Низкий уровень К-1;MT-K1-02;k1-low-level;SRC-SAFETY-001;ACT-FUEL|ACT-K1-LVL;implemented
SC-13;Низкий уровень рефлюксных ёмкостей;MT-K2-01;k2-control;SRC-PROC-001;ACT-FUEL;implemented
SC-14;Пуск установки;MT-FEED-01|MT-ELOU-01|MT-FURN-01;trainer-use|process-overview|elou-principle|furnace-operation;SRC-PROC-001;ACT-VALVE-L1|ACT-PUMP-N1|ACT-ELOU-DEM|ACT-ELOU-FIELD|ACT-ELOU-WATER;implemented
SC-15;Потеря водородсодержащего газа;;process-overview;SRC-PROC-001;ACT-SAFE-STOP;implemented
MVP-ELOU-01;Отказ подачи деэмульгатора;MT-ELOU-02;elou-quality;SRC-ANALYTICS-001;ACT-ELOU-DEM;implemented
MVP-FURN-01;Потеря топливного газа;MT-FURN-01;furnace-operation;SRC-PROC-001;ACT-FUEL;implemented
